"class_size","college_career_ready","community_engagement","electives_specials","extracurricular","great_teachers","length_of_school_year","safety","technology","response","Elementary","Middle","High","Options","Response1","Response2"
1,7,5,4,3,8,2,6,9,"high school student",,,,,,
2,7,3,6,5,9,1,4,8,"parent/guardian",,,"High","Options",,
2,6,3,5,4,9,1,7,8,"parent/guardian",,,"High","Options",,
3,4,8,5,9,2,7,1,6,"parent/guardian","Elementary","Middle",,,,
5,4,9,2,8,1,3,7,6,"parent/guardian",,"Middle","High","Options",,
3,2,9,1,6,4,5,7,8,"parent/guardian",,,"High",,,
8,6,2,3,5,1,9,7,4,"parent/guardian","Elementary",,,,,
2,8,7,4,6,1,3,9,5,"parent/guardian","Elementary",,,,,
2,9,5,4,6,1,3,8,7,"parent/guardian","Elementary",,,,,
3,6,7,5,8,2,4,1,9,"parent/guardian","Elementary",,,"Options",,
2,3,8,5,6,1,9,7,4,"staff member",,,,,"Classified","Elementary School"
1,7,9,3,2,8,5,6,4,"parent/guardian",,,"High",,,
1,9,7,4,5,3,8,2,6,"parent/guardian","Elementary",,"High",,,
2,5,9,4,8,6,3,1,7,"staff member",,,,,"Licensed","Elementary School"
6,5,7,3,1,2,8,9,4,"community member",,,,,,
4,3,6,5,7,1,9,2,8,"parent/guardian",,,"High",,,
7,5,4,3,9,2,6,8,1,"parent/guardian","Elementary","Middle",,,,
5,6,8,4,9,3,2,7,1,"parent/guardian","Elementary",,,,,
3,4,9,6,5,1,8,2,7,"staff member",,,,,"Licensed","Elementary School"
2,7,6,5,9,3,8,1,4,"community member",,,,,,
2,1,6,4,7,3,8,9,5,"community member",,,,,,
5,6,7,9,2,3,4,1,8,"community member",,,,,,
1,4,9,5,7,2,3,6,8,"parent/guardian",,,"High",,,
2,6,9,4,5,3,1,8,7,"parent/guardian","Elementary",,,,,
5,1,8,6,7,3,4,9,2,"parent/guardian","Elementary",,,,,
1,7,8,5,9,3,6,4,2,"parent/guardian",,"Middle",,"Options",,
2,7,9,3,5,4,6,8,1,"staff member",,,,,"Licensed","Middle School"
3,5,9,1,7,4,8,6,2,"parent/guardian","Elementary","Middle",,,,
2,4,8,5,6,1,3,9,7,"parent/guardian",,"Middle","High","Options",,
4,2,5,3,6,1,9,7,8,"parent/guardian","Elementary","Middle",,,,
4,2,8,7,9,3,1,6,5,"parent/guardian","Elementary",,,,,
1,4,9,2,8,3,7,6,5,"parent/guardian","Elementary","Middle",,,,
9,2,6,1,5,4,8,7,3,"high school student",,,,,,
1,5,8,3,9,6,2,4,7,"parent/guardian",,"Middle",,,,
3,6,1,5,8,4,7,2,9,"community member",,,,,,
8,1,7,2,9,3,6,5,4,"staff member",,,,,"Classified","Central Services"
2,5,8,1,3,6,4,7,9,"staff member",,,,,"Licensed","Elementary School"
6,3,5,7,8,2,9,4,1,"community member",,,,,,
1,6,8,5,7,2,9,3,4,"staff member",,,,,"Licensed","Elementary School"
2,8,6,9,5,4,3,1,7,"parent/guardian",,"Middle","High",,,
5,3,8,1,9,6,2,7,4,"staff member",,,,,"Licensed","Elementary School"
